Ticker,Asset_Class,Category,Mean_Return,Volatility,Sharpe_Ratio,Skewness,Kurtosis,Downside_Volatility,Max_Drawdown,Percentile_5,Percentile_95,Rolling_Volatility,Win_Rate,Gain_Loss_Ratio,Correlation_SPY,Beta_SPY
CHWY,Stock,Retail,-0.0070838087103345,0.6663761226738802,-0.0106303459402331,0.8868161641803654,4.833287601288749,0.3913241590560156,-0.8050968787236786,-0.0633387658213773,0.0654682123307494,0.6334271658186761,0.4827995255041518,1.0619038612512817,0.4930840142162022,1.8928142298085209
PTON,Stock,Consumer,-0.1462491517626011,0.9254640493258796,-0.1580279124501172,0.6677679123197615,3.846634140242106,0.5267270633454137,-0.9474931596251588,-0.0792517712236229,0.0963960556816721,0.9000984751175634,0.4626334519572954,1.1083242726936149,0.4190833845244723,2.234228757629184
RIVN,Stock,Auto,-0.2951353537115483,0.8192297051227179,-0.3602595851518079,0.240213926212921,3.218312072062548,0.5330103864264317,-0.9511656305634232,-0.0760785314364992,0.0807073475488386,0.7758765370107884,0.4685646500593119,1.06035561459344,0.4591217927662808,2.166712261486263
LCID,Stock,Auto,-0.5019659454457844,0.8277012066121854,-0.6064579119080319,1.0177762277785842,7.619591537930438,0.4946439982875491,-0.9637968300800848,-0.078207325085442,0.0792784048903415,0.788018117924286,0.4543297746144721,1.047110388882342,0.4043006513977226,1.9277276270464287
F,Stock,Auto,-0.0373938721523444,0.4022541508102253,-0.0929608111613646,-0.6288627370469888,5.536303684680027,0.3091134601745638,-0.5642450837388868,-0.0382547637578451,0.0371787025214961,0.388003166526281,0.5088967971530249,0.919479927365852,0.5793941604590561,1.342586543715008
GM,Stock,Auto,0.0363164902820427,0.3748793009153312,0.0968751547321229,0.0761044979548207,1.6064873989698052,0.2474950055710359,-0.5895945428699809,-0.0368705800338268,0.0374625723447954,0.3629257160211749,0.5290628706998813,0.902584960251828,0.5918725606525183,1.278166144348143
NIO,Stock,Auto,-0.3659682101018587,0.7685983934130711,-0.4761501106926915,0.6247015879131216,2.118724696064384,0.4321130230478338,-0.9139910889669316,-0.0725114893134916,0.0827857665262605,0.7454802580944896,0.461447212336892,1.0462309851917722,0.4205013302820021,1.8618062697369324
XOM,Stock,Energy,0.2470833609694992,0.2693135671720001,0.917456047848108,-0.1444029945013206,1.3761772225757296,0.1805708981989381,-0.2050865923180409,-0.0277378504846537,0.0286840329302277,0.2591278186372657,0.5302491103202847,1.027198950198848,0.3062426292111361,0.4751070984527825
CVX,Stock,Energy,0.183796223868937,0.253435783771257,0.7252181248202331,-0.1873549807748497,2.528043719415658,0.1810955654183236,-0.2494892851260254,-0.0257116345182632,0.0257653417320655,0.2450380479276997,0.5480427046263345,0.9333585445575538,0.3556484384742186,0.5192260619249514
COP,Stock,Energy,0.1899326571892601,0.3234715287248026,0.5871696279979179,-0.1732823531887422,2.236031674965552,0.2228067461578063,-0.329775371185586,-0.0310149367368548,0.0335004025488208,0.3055379581908758,0.5100830367734283,1.059232649925847,0.3295739535190488,0.6141247281039899
SLB,Stock,Energy,0.1631377335516952,0.3736206553050257,0.4366400284227026,-0.0495546188338482,2.0418069737791784,0.2570522405027,-0.3890481368186496,-0.0375029778550748,0.0387697404264665,0.3577338977451963,0.5207591933570581,0.9847827370951648,0.3364491449949131,0.7241323487603486
EOG,Stock,Energy,0.2010975108140585,0.33223657600114,0.6052840817061891,-0.1380036111031156,1.9563107867324088,0.2299626969752232,-0.3341953409662613,-0.0327050458746882,0.0344318965064555,0.3144540009339485,0.5195729537366548,1.0263253231087466,0.3325342838108775,0.6364312724492426
MPC,Stock,Energy,0.322573792181587,0.3237264193844322,0.9964395022036294,-0.2282082646190685,1.3737035604601149,0.2247242264387475,-0.3899495686300532,-0.0327290037930539,0.0338483890963174,0.3156905744394014,0.5361803084223014,1.0198090391027417,0.3628973432316283,0.6767520415246231
PSX,Stock,Energy,0.2367032098303307,0.3179666890545458,0.7444276962915615,-0.2021087784938309,1.207691356439664,0.2221073214252572,-0.3448753955688797,-0.0328438766911136,0.0336050852360484,0.3058155840015794,0.5243179122182681,1.0237554186580686,0.3420347628754492,0.626497748802054
VLO,Stock,Energy,0.2624684772581002,0.3627363413911928,0.7235792152819923,-0.1020142620075133,0.9435454763521244,0.2416017398531446,-0.3395573364124419,-0.036485564206634,0.0394791275116751,0.3503732377445125,0.5302491103202847,0.991831730974866,0.2949555889345007,0.6163328845304185
OXY,Stock,Energy,0.2052190537710033,0.377582099880931,0.5435084285926645,0.8552732292389081,5.96659848603379,0.2310209539850197,-0.3847688274872852,-0.0343028941865568,0.0398317002649928,0.3429123615219096,0.491103202846975,1.1329031842605235,0.3322222872476336,0.7226163827182562
HAL,Stock,Energy,0.11607427563177,0.3901247233795628,0.297531196244741,-0.1255865342226311,1.3234712305404184,0.2652719377622919,-0.4553507173327956,-0.0407355013454058,0.0394127658499112,0.372991088581215,0.5148279952550415,0.9786052070714324,0.3849296566421749,0.8650724637299826
BKR,Stock,Energy,0.2664997584793903,0.3412921952436116,0.7808551211936297,0.0807173949415535,1.530779044833137,0.2239147076292482,-0.4652737692051711,-0.0348744710006922,0.0354184562422841,0.325130974598723,0.5219454329774614,1.0289273686239235,0.3802115686101802,0.7475139913548516
DVN,Stock,Energy,0.0991845488854131,0.4007507442106575,0.2474968551356602,-0.2836451009637793,2.693943108890569,0.2915940127187689,-0.5570485693435668,-0.0389747953656824,0.0396113366685771,0.3758152511506205,0.5065243179122183,1.0097723121356723,0.3974751763476766,0.9175970112299124
FANG,Stock,Energy,0.2378235374580497,0.3615207895263989,0.6578419397944013,-0.109196982779033,1.752018982611185,0.2501974430147884,-0.334725511996261,-0.0354662949615905,0.0386522405205995,0.3393747593457652,0.5468564650059312,0.9198869467476012,0.3681568628280309,0.7667147521308684
APA,Stock,Energy,0.0342075202381986,0.456315622963479,0.074964604577951,-0.2935889626088484,1.942027382071632,0.3257458252068909,-0.6098317861839362,-0.0432445989604661,0.0487549374491217,0.4370874549739043,0.5207591933570581,0.9252879273659896,0.3953695437629419,1.0392886674293045
CTRA,Stock,Energy,0.2264184632224553,0.3424824102996499,0.6611097575036157,-0.1498865286559137,2.0679666373905867,0.2348030375248686,-0.3324857404914724,-0.0334863672713383,0.0342144872708266,0.3262930025346454,0.5207591933570581,1.0121516526242222,0.3547781700535998,0.6999432064290907
OVV,Stock,Energy,0.1943796707643618,0.462919270980659,0.4198997167531681,-0.0914746909759173,1.846231270695383,0.3108067905828681,-0.4713354202667211,-0.0432046210931145,0.0489234562810384,0.4333918678636744,0.5100830367734283,1.0166859622088145,0.4196983826286043,1.1192064341955612
NEE,Stock,Energy,0.0082414895343236,0.2811377293978226,0.0293147758999703,-0.3974412265180821,3.6594317560037153,0.2073743039190871,-0.4496971577470896,-0.0257061100739558,0.0269334897724628,0.2710041664893207,0.5100830367734283,0.9560446877843628,0.3799479189696034,0.6153339046474131
DUK,Stock,Energy,0.1016796998730836,0.1871152047368685,0.5434069348670577,-0.2542105714060232,0.8041076497353381,0.1256462388205231,-0.2415886482657289,-0.0190301316761681,0.0186045811221928,0.1825665120126379,0.5290628706998813,0.9724203816705068,0.2956950593120718,0.318728419597802
GS,Stock,Financial,0.1751755208724398,0.2691736563131504,0.6507899891534878,0.3928749125978383,5.051697311862899,0.1766686557333624,-0.3050879077910249,-0.0246758173248677,0.0264697557066604,0.2599976584346453,0.5136417556346382,1.0594686434095535,0.6704541319692094,1.039607173419938
MS,Stock,Financial,0.1469477147691662,0.2863975207829778,0.5130900378167662,0.2529876031437145,3.170173881325127,0.1909221530364528,-0.3237738376003901,-0.0286027424512304,0.0277509532876404,0.2759286618992087,0.5136417556346382,1.02707663544453,0.6698789189528854,1.105180483446793
C,Stock,Financial,0.1035221588187748,0.2865645722914907,0.3612524674315744,0.6362693577381362,5.013621376719764,0.1757765198519833,-0.4059992871855219,-0.026456423235559,0.028195723789568,0.2759319229527803,0.5065243179122183,1.022104292060105,0.6198399677483447,1.0232216402034218
WFC,Stock,Financial,0.1875326654534176,0.3037247968791156,0.6174427224263052,0.3315644519230744,3.938902404171937,0.2004538137039941,-0.3709705399368825,-0.028006005366117,0.0310912505185375,0.2905271081126911,0.5065243179122183,1.0692525239388906,0.5736148037391173,1.003617541394053
USB,Stock,Financial,-0.002361152293675,0.3160847435647599,-0.007469997656471,-0.0918170699729199,3.0803391335355004,0.2229276021204697,-0.5213488438454623,-0.0322311293170595,0.0293721971817794,0.3044338179479677,0.4875444839857651,1.035143542222671,0.5416991964415795,0.9863461818034992
PNC,Stock,Financial,0.0323954073753199,0.2832304208870865,0.1143782764360428,0.1228467825855319,1.6292796242261955,0.1831642098033769,-0.4797722800521253,-0.0285261927520723,0.0289282603013068,0.2782114001028394,0.5088967971530249,0.9837947744405088,0.606671268625783,0.9898308093436116
TFC,Stock,Financial,-0.0173207449314553,0.3379409249906943,-0.0512537655270141,-0.3150549346594158,6.636224479549394,0.2371991795583334,-0.5911312309898636,-0.0314422982355043,0.0317976084489276,0.3229908533410756,0.494661921708185,1.000659411080354,0.5719818038858937,1.1135010826278582
SCHW,Stock,Financial,0.071362805392058,0.3471530584067243,0.2055658265538005,-0.3253525386993668,5.8555378888532505,0.2604565620688442,-0.497034490857415,-0.0326096559526277,0.0336856619089147,0.3260701206701427,0.5005931198102017,1.0311578414734297,0.49318802284787,0.9862821176335927
BLK,Stock,Financial,0.0637519893336878,0.2672900896087722,0.2385123572183333,0.6095464170373341,5.871375740495219,0.1694496363546609,-0.4390168894543133,-0.0262333803341509,0.0264944777022541,0.2513008391363298,0.5148279952550415,0.982247038855211,0.7739413487150175,1.1916769762520418
AXP,Stock,Financial,0.1827088826988857,0.292430175924606,0.6247949005987381,0.0693688460513827,3.6298586750996975,0.2018162315479225,-0.3154587732406187,-0.0280553705390971,0.0301499483864505,0.2783491812068606,0.5183867141162515,1.0341025359415588,0.686829097348538,1.157013731687311
SPGI,Stock,Financial,0.067395262629354,0.2343343188291376,0.2876030406732469,0.1366442629655632,4.3774417885032415,0.1595571998584068,-0.397603874465056,-0.0221230010705032,0.0230397657073094,0.2231748939205743,0.5290628706998813,0.932693318014137,0.6984771091710662,0.942878464745448
MCO,Stock,Financial,0.1001326450317347,0.2611906681127814,0.383369918057324,0.0469229311335107,4.496118994037109,0.1863046470188943,-0.4092907084347223,-0.0276481622267447,0.0254568408235673,0.2466304629410088,0.5266903914590747,0.9551196592205716,0.7335349118092722,1.1036874058211024
ICE,Stock,Financial,0.1164169832556835,0.2121881178879591,0.5486498698157772,-0.3372867293844656,2.9112737759847045,0.1521221344607046,-0.3397367322254341,-0.0205820011066845,0.0207175889921001,0.2030807602581326,0.527876631079478,0.975038777083632,0.6080017737962333,0.7431792048430096
CME,Stock,Financial,0.120651732191119,0.2010518142890339,0.6001026780970452,0.0096434824658431,1.6764373931286682,0.1330701103473117,-0.3174038681699305,-0.0197384949405374,0.0206971843114027,0.195414528010541,0.5207591933570581,1.0151507559936093,0.3168885145997265,0.3670135828442007
BX,Stock,Financial,0.1405163650837404,0.4017537745351162,0.3497574235521171,0.1146639869361656,2.161012024414464,0.2625853137709442,-0.4928608825821423,-0.0395282563345828,0.0405597677885405,0.3863683992480869,0.5207591933570581,0.9734860725163064,0.7372441918497071,1.7062354761585483
KKR,Stock,Financial,0.2252313885309216,0.3862166207114085,0.5831737332175059,0.0073253487591236,2.2894081586025603,0.2604025325915748,-0.4496337921094505,-0.0381969240385361,0.0368937635111663,0.3708301447108465,0.5243179122182681,0.9967114663245722,0.7470429430802367,1.6620503235874349
APO,Stock,Financial,0.2949437612625994,0.3595996627598594,0.8202003277727287,-0.3730011696199885,2.081506237372663,0.2615551456953015,-0.3749322938109637,-0.0377165142400395,0.0349855451651007,0.3457509100703328,0.5444839857651246,0.9616985667213328,0.6888443639346793,1.426947606263413
COF,Stock,Financial,0.1255227018480101,0.3532357271485269,0.3553510933372572,0.5139185383012099,4.1093835936459815,0.2217740417787113,-0.4556050006624451,-0.0344540128082104,0.034615192565405,0.3377682859774957,0.5029655990510083,1.0453015869876296,0.6404505722655313,1.3032204399329106
